=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/document-01.txt
  - documents/document-02.txt

•Stop Words File: stop-words/stop-words-en.txt
•Lemmatization File: lemmatization/corpus-en.json

=============================== TABLES OF TERMS ================================

=========================== documents/document-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 2.361728    0.000000    0.133941           0, 2
accept                            1.000000    0.301030    0.056713          1, 59
acceptance                        1.000000    0.000000    0.056713         11, 52
achieve                           0.000000    0.301030    0.000000            N/A
admire                            0.000000    0.301030    0.000000            N/A
afraid                            1.301030    0.301030    0.073786          9, 29
air                               1.602060    0.000000    0.090858          0, 34
alive                             1.301030    0.000000    0.073786          1, 22
alongjust                         0.000000    0.301030    0.000000            N/A
altogether                        0.000000    0.301030    0.000000            N/A
anchored                          0.000000    0.301030    0.000000            N/A
appointments                      0.000000    0.301030    0.000000            N/A
arrive                            0.000000    0.301030    0.000000            N/A
asleep                            1.000000    0.000000    0.056713          5, 34
attention                         1.301030    0.000000    0.073786          4, 37
awake                             0.000000    0.301030    0.000000            N/A
balance                           1.000000    0.000000    0.056713          7, 64
beautiful                         1.000000    0.000000    0.056713          3, 25
beauty                            1.000000    0.000000    0.056713          10, 5
bend                              1.000000    0.301030    0.056713           4, 3
beneath                           1.000000    0.000000    0.056713          7, 41
birds                             1.000000    0.000000    0.056713          1, 43
bother                            0.000000    0.301030    0.000000            N/A
branch                            1.301030    0.301030    0.073786          1, 46
branches                          0.000000    0.301030    0.000000            N/A
breathe                           1.301030    0.000000    0.073786          2, 57
breeze                            0.000000    0.301030    0.000000            N/A
bright                            0.000000    0.301030    0.000000            N/A
brighter                          0.000000    0.301030    0.000000            N/A
bring                             0.000000    0.301030    0.000000            N/A
brush                             1.000000    0.000000    0.056713          5, 24
busier                            1.000000    0.301030    0.056713         14, 20
busy                              0.000000    0.301030    0.000000            N/A
calm                              1.000000    0.000000    0.056713          5, 49
calmness                          0.000000    0.301030    0.000000            N/A
