=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt
  - documents/esp-06.txt
  - documents/esp-07.txt
  - documents/esp-08.txt
  - documents/esp-09.txt
  - documents/esp-10.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 2.322219    0.000000    0.108911           0, 8
abajo                             0.000000    1.000000    0.000000            N/A
abalanzramos                      0.000000    1.000000    0.000000            N/A
abierta                           0.000000    1.000000    0.000000            N/A
abisal                            0.000000    1.000000    0.000000            N/A
ablanda                           0.000000    1.000000    0.000000            N/A
abolir                            0.000000    1.000000    0.000000            N/A
abr                               1.000000    1.000000    0.046899          6, 10
abra                              0.000000    1.000000    0.000000            N/A
abri                              0.000000    1.000000    0.000000            N/A
abrieron                          1.000000    0.698970    0.046899          5, 24
abrigar                           0.000000    1.000000    0.000000            N/A
absoluta                          0.000000    1.000000    0.000000            N/A
absoluto                          0.000000    1.000000    0.000000            N/A
aburri                            0.000000    1.000000    0.000000            N/A
aburrimiento                      0.000000    1.000000    0.000000            N/A
acab                              0.000000    1.000000    0.000000            N/A
acabadas                          0.000000    1.000000    0.000000            N/A
acariciaban                       0.000000    1.000000    0.000000            N/A
acaso                             0.000000    1.000000    0.000000            N/A
aceite                            0.000000    1.000000    0.000000            N/A
aceptacin                         1.000000    1.000000    0.046899         11, 27
acera                             0.000000    1.000000    0.000000            N/A
acerc                             0.000000    1.000000    0.000000            N/A
acercaban                         0.000000    0.698970    0.000000            N/A
acercarse                         0.000000    1.000000    0.000000            N/A
acercndose                        0.000000    1.000000    0.000000            N/A
acerqu                            0.000000    1.000000    0.000000            N/A
acompaaba                         0.000000    1.000000    0.000000            N/A
acord                             0.000000    1.000000    0.000000            N/A
acost                             0.000000    1.000000    0.000000            N/A
acostumbrarme                     0.000000    1.000000    0.000000            N/A
acuario                           0.000000    1.000000    0.000000            N/A
acuarios                          0.000000    1.000000    0.000000            N/A
acuchillados                      0.000000    1.000000    0.000000            N/A
acudan                            0.000000    1.000000    0.000000            N/A
acudido                           0.000000    1.000000    0.000000            N/A
adelantando                       0.000000    1.000000    0.000000            N/A
adems                             0.000000    1.000000    0.000000            N/A
adentrarnos                       0.000000    1.000000    0.000000            N/A
adivinaba                         0.000000    1.000000    0.000000            N/A
admiten                           0.000000    1.000000    0.000000            N/A
adverta                           0.000000    1.000000    0.000000            N/A
afiladas                          0.000000    1.000000    0.000000            N/A
aforar                            0.000000    0.522879    0.000000            N/A
agitaban                          0.000000    1.000000    0.000000            N/A
aglomeradas                       0.000000    1.000000    0.000000            N/A
agotan                            0.000000    1.000000    0.000000            N/A
agria                             0.000000    1.000000    0.000000            N/A
agua                              1.602060    0.397940    0.075136          3, 17
aguant                            0.000000    1.000000    0.000000            N/A
agujas                            1.000000    1.000000    0.046899          4, 24
ah                                0.000000    0.522879    0.000000            N/A
ahora                             1.301030    0.397940    0.061018         13, 20
aire                              1.477121    0.301030    0.069276          0, 31
aisl                              0.000000    1.000000    0.000000            N/A
ajeno                             0.000000    1.000000    0.000000            N/A
ajolote                           0.000000    1.000000    0.000000            N/A
alarmados                         0.000000    1.000000    0.000000            N/A
alas                              1.000000    1.000000    0.046899           9, 8
alcanc                            0.000000    1.000000    0.000000            N/A
alcanzaba                         0.000000    1.000000    0.000000            N/A
alcanzaran                        0.000000    1.000000    0.000000            N/A
alce                              0.000000    1.000000    0.000000            N/A
alerta                            0.000000    1.000000    0.000000            N/A
aleta                             0.000000    1.000000    0.000000            N/A
alfiler                           0.000000    1.000000    0.000000            N/A
algn                              0.000000    1.000000    0.000000            N/A
algo                              1.602060    0.154902    0.075136          0, 61
alguien                           0.000000    0.522879    0.000000            N/A
aline                             0.000000    1.000000    0.000000            N/A
all                               1.602060    0.301030    0.075136          2, 50
alta                              0.000000    1.000000    0.000000            N/A
altas                             1.000000    1.000000    0.046899          2, 20
altavoces                         0.000000    1.000000    0.000000            N/A
alto                              1.301030    0.522879    0.061018          6, 62
alz                               1.000000    1.000000    0.046899          9, 30
alzaba                            1.000000    1.000000    0.046899          2, 37
amanecer                          1.000000    1.000000    0.046899          0, 17
amarillos                         0.000000    1.000000    0.000000            N/A
amblistoma                        0.000000    1.000000    0.000000            N/A
amenaza                           0.000000    1.000000    0.000000            N/A
amigo                             0.000000    1.000000    0.000000            N/A
amigos                            0.000000    0.698970    0.000000            N/A
amontonaban                       0.000000    1.000000    0.000000            N/A
amordazado                        0.000000    1.000000    0.000000            N/A
amplio                            1.000000    1.000000    0.046899          5, 35
an                                1.000000    0.698970    0.046899          0, 12
analogas                          0.000000    1.000000    0.000000            N/A
ancho                             1.000000    1.000000    0.046899          2, 16
andando                           0.000000    0.698970    0.000000            N/A
andar                             0.000000    1.000000    0.000000            N/A
andenes                           0.000000    1.000000    0.000000            N/A
andn                              0.000000    1.000000    0.000000            N/A
anfitrin                          0.000000    1.000000    0.000000            N/A
angostar                          0.000000    1.000000    0.000000            N/A
animado                           0.000000    1.000000    0.000000            N/A
animal                            0.000000    1.000000    0.000000            N/A
animales                          0.000000    0.698970    0.000000            N/A
animarme                          0.000000    1.000000    0.000000            N/A
aniquilado                        0.000000    1.000000    0.000000            N/A
anochecer                         0.000000    1.000000    0.000000            N/A
anotaba                           0.000000    1.000000    0.000000            N/A
antiguas                          0.000000    1.000000    0.000000            N/A
