=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 2.322219    0.000000    0.108911           0, 8
abajo                             0.000000    0.477121    0.000000            N/A
abr                               1.000000    0.477121    0.046899          6, 10
abrieron                          1.000000    0.477121    0.046899          5, 24
aceptacin                         1.000000    0.477121    0.046899         11, 27
agotan                            0.000000    0.477121    0.000000            N/A
agua                              1.602060    0.176091    0.075136          3, 17
agujas                            1.000000    0.477121    0.046899          4, 24
ah                                0.000000    0.477121    0.000000            N/A
ahora                             1.301030    0.477121    0.061018         13, 20
aire                              1.477121    0.000000    0.069276          0, 31
alas                              1.000000    0.477121    0.046899           9, 8
algn                              0.000000    0.477121    0.000000            N/A
algo                              1.602060    0.000000    0.075136          0, 61
all                               1.602060    0.176091    0.075136          2, 50
alta                              0.000000    0.477121    0.000000            N/A
altas                             1.000000    0.477121    0.046899          2, 20
alto                              1.301030    0.176091    0.061018          6, 62
alz                               1.000000    0.477121    0.046899          9, 30
alzaba                            1.000000    0.477121    0.046899          2, 37
amanecer                          1.000000    0.477121    0.046899          0, 17
amplio                            1.000000    0.477121    0.046899          5, 35
an                                1.000000    0.176091    0.046899          0, 12
ancho                             1.000000    0.477121    0.046899          2, 16
andando                           0.000000    0.477121    0.000000            N/A
antiguas                          0.000000    0.477121    0.000000            N/A
apenas                            1.000000    0.477121    0.046899          0, 20
aprenda                           1.000000    0.477121    0.046899         13, 47
apurado                           0.000000    0.477121    0.000000            N/A
aquella                           1.000000    0.477121    0.046899          1, 18
arena                             0.000000    0.477121    0.000000            N/A
as                                1.000000    0.477121    0.046899          10, 8
asomaba                           1.000000    0.477121    0.046899          0, 21
atencin                           1.301030    0.477121    0.061018          1, 27
atentar                           1.000000    0.477121    0.046899          4, 35
atraa                             1.000000    0.477121    0.046899          3, 77
atrapados                         0.000000    0.477121    0.000000            N/A
atrs                              1.000000    0.477121    0.046899          4, 64
aunque                            1.477121    0.000000    0.069276           1, 9
avanzaba                          1.000000    0.176091    0.046899           4, 3
bastaba                           1.000000    0.176091    0.046899         14, 59
belleza                           1.301030    0.477121    0.061018          3, 14
blanca                            0.000000    0.477121    0.000000            N/A
bolgrafo                          1.000000    0.477121    0.046899          0, 54
borde                             1.000000    0.477121    0.046899           6, 6
bosque                            0.000000    0.477121    0.000000            N/A
brillaba                          0.000000    0.477121    0.000000            N/A
brillaban                         1.000000    0.477121    0.046899           9, 9
brillando                         1.000000    0.477121    0.046899          5, 40
brillante                         0.000000    0.477121    0.000000            N/A
brisa                             1.000000    0.477121    0.046899          1, 34
buscarla                          1.000000    0.477121    0.046899          8, 30
caa                               0.000000    0.477121    0.000000            N/A
calma                             1.301030    0.176091    0.061018          7, 31
cambi                             1.000000    0.477121    0.046899         14, 40
cambiar                           1.000000    0.477121    0.046899          2, 65
camin                             0.000000    0.176091    0.000000            N/A
caminar                           1.301030    0.477121    0.061018           0, 9
caminata                          1.000000    0.477121    0.046899          1, 14
camino                            1.477121    0.477121    0.069276           2, 3
cantar                            0.000000    0.477121    0.000000            N/A
caracol                           0.000000    0.477121    0.000000            N/A
cargado                           0.000000    0.477121    0.000000            N/A
casa                              0.000000    0.477121    0.000000            N/A
casi                              1.000000    0.477121    0.046899          0, 34
cerca                             1.000000    0.477121    0.046899           6, 4
cerr                              1.000000    0.477121    0.046899          11, 0
chapotear                         1.000000    0.477121    0.046899          7, 13
charcos                           0.000000    0.477121    0.000000            N/A
cielo                             1.602060    0.000000    0.075136          0, 11
claro                             0.000000    0.477121    0.000000            N/A
clase                             1.000000    0.477121    0.046899          3, 28
clido                             1.000000    0.477121    0.046899         14, 16
cmo                               1.602060    0.477121    0.075136          6, 26
colgaba                           0.000000    0.477121    0.000000            N/A
coloridas                         1.000000    0.477121    0.046899          9, 15
comenzaba                         1.000000    0.176091    0.046899          3, 66
comienzo                          1.000000    0.477121    0.046899          0, 43
compar                            1.000000    0.477121    0.046899           8, 1
completamente                     1.000000    0.477121    0.046899         14, 20
comprend                          1.000000    0.176091    0.046899         13, 26
conectado                         1.000000    0.477121    0.046899          3, 84
conmigo                           0.000000    0.477121    0.000000            N/A
conservaba                        1.000000    0.477121    0.046899          0, 13
constante                         1.000000    0.477121    0.046899          5, 18
contrario                         1.000000    0.477121    0.046899          4, 45
conviviendo                       1.000000    0.477121    0.046899          7, 59
cosas                             1.301030    0.176091    0.061018          6, 57
crculos                           1.000000    0.477121    0.046899          7, 23
crujido                           0.000000    0.477121    0.000000            N/A
cruz                              0.000000    0.477121    0.000000            N/A
cruzaban                          1.000000    0.477121    0.046899          4, 12
cuaderno                          1.602060    0.477121    0.075136          0, 51
cualquier                         1.000000    0.477121    0.046899         13, 39
cubierto                          1.000000    0.176091    0.046899          2, 17
cuenta                            0.000000    0.176091    0.000000            N/A
cuntas                            0.000000    0.477121    0.000000            N/A
cuntos                            1.000000    0.477121    0.046899         10, 22
da                                1.301030    0.176091    0.061018          0, 45
danza                             0.000000    0.477121    0.000000            N/A
de                                2.505150    0.000000    0.117490          0, 16
deba                              1.000000    0.477121    0.046899          12, 5
debajo                            1.000000    0.477121    0.046899          8, 22
decid                             1.000000    0.477121    0.046899           0, 6
decir                             0.000000    0.176091    0.000000            N/A
dej                               1.000000    0.176091    0.046899         14, 44
dejaba                            1.000000    0.477121    0.046899         11, 24
