=============================== INPUT ARGUMENTS ================================

•Documents:
  - documents/esp-01.txt
  - documents/esp-02.txt
  - documents/esp-03.txt
  - documents/esp-04.txt
  - documents/esp-05.txt

•Stop Words File: stop-words/stop-words-es.txt
•Lemmatization File: lemmatization/corpus-es.json

=============================== TABLES OF TERMS ================================

=========================== documents/esp-01.txt ==========================

Term                                    TF         IDF       TFIDF          Index
------------------------------------------------------------------------------------------
a                                 2.322219    0.000000    0.108911           0, 8
abajo                             0.000000    0.698970    0.000000            N/A
ablanda                           0.000000    0.698970    0.000000            N/A
abr                               1.000000    0.698970    0.046899          6, 10
abrieron                          1.000000    0.397940    0.046899          5, 24
abrigar                           0.000000    0.698970    0.000000            N/A
aceptacin                         1.000000    0.698970    0.046899         11, 27
acera                             0.000000    0.698970    0.000000            N/A
acercndose                        0.000000    0.698970    0.000000            N/A
acompaaba                         0.000000    0.698970    0.000000            N/A
aforar                            0.000000    0.397940    0.000000            N/A
agotan                            0.000000    0.698970    0.000000            N/A
agua                              1.602060    0.397940    0.075136          3, 17
agujas                            1.000000    0.698970    0.046899          4, 24
ah                                0.000000    0.698970    0.000000            N/A
ahora                             1.301030    0.698970    0.061018         13, 20
aire                              1.477121    0.000000    0.069276          0, 31
alas                              1.000000    0.698970    0.046899           9, 8
algn                              0.000000    0.698970    0.000000            N/A
algo                              1.602060    0.000000    0.075136          0, 61
alguien                           0.000000    0.397940    0.000000            N/A
all                               1.602060    0.221849    0.075136          2, 50
alta                              0.000000    0.698970    0.000000            N/A
altas                             1.000000    0.698970    0.046899          2, 20
altavoces                         0.000000    0.698970    0.000000            N/A
alto                              1.301030    0.397940    0.061018          6, 62
alz                               1.000000    0.698970    0.046899          9, 30
alzaba                            1.000000    0.698970    0.046899          2, 37
amanecer                          1.000000    0.698970    0.046899          0, 17
amarillos                         0.000000    0.698970    0.000000            N/A
amplio                            1.000000    0.698970    0.046899          5, 35
an                                1.000000    0.397940    0.046899          0, 12
ancho                             1.000000    0.698970    0.046899          2, 16
andando                           0.000000    0.397940    0.000000            N/A
andenes                           0.000000    0.698970    0.000000            N/A
andn                              0.000000    0.698970    0.000000            N/A
anochecer                         0.000000    0.698970    0.000000            N/A
anotaba                           0.000000    0.698970    0.000000            N/A
antiguas                          0.000000    0.698970    0.000000            N/A
anunci                            0.000000    0.698970    0.000000            N/A
apagarse                          0.000000    0.698970    0.000000            N/A
aparece                           0.000000    0.698970    0.000000            N/A
apareci                           0.000000    0.698970    0.000000            N/A
apenas                            1.000000    0.397940    0.046899          0, 20
aprenda                           1.000000    0.698970    0.046899         13, 47
apurado                           0.000000    0.698970    0.000000            N/A
aqu                               0.000000    0.698970    0.000000            N/A
aquella                           1.000000    0.698970    0.046899          1, 18
arena                             0.000000    0.698970    0.000000            N/A
arranc                            0.000000    0.698970    0.000000            N/A
as                                1.000000    0.221849    0.046899          10, 8
asfalto                           0.000000    0.698970    0.000000            N/A
asomaba                           1.000000    0.698970    0.046899          0, 21
atencin                           1.301030    0.698970    0.061018          1, 27
atentar                           1.000000    0.698970    0.046899          4, 35
atraa                             1.000000    0.698970    0.046899          3, 77
atrapados                         0.000000    0.698970    0.000000            N/A
atrs                              1.000000    0.397940    0.046899          4, 64
aun                               0.000000    0.698970    0.000000            N/A
aunque                            1.477121    0.096910    0.069276           1, 9
ausente                           0.000000    0.698970    0.000000            N/A
autobs                            0.000000    0.698970    0.000000            N/A
avanza                            0.000000    0.698970    0.000000            N/A
avanzaba                          1.000000    0.397940    0.046899           4, 3
avisar                            0.000000    0.698970    0.000000            N/A
azul                              0.000000    0.698970    0.000000            N/A
baja                              0.000000    0.698970    0.000000            N/A
bajamos                           0.000000    0.698970    0.000000            N/A
bajaron                           0.000000    0.698970    0.000000            N/A
banco                             0.000000    0.698970    0.000000            N/A
bastaba                           1.000000    0.397940    0.046899         14, 59
belleza                           1.301030    0.698970    0.061018          3, 14
billete                           0.000000    0.698970    0.000000            N/A
blanca                            0.000000    0.698970    0.000000            N/A
blancas                           0.000000    0.698970    0.000000            N/A
bocas                             0.000000    0.698970    0.000000            N/A
bolgrafo                          1.000000    0.698970    0.046899          0, 54
borde                             1.000000    0.698970    0.046899           6, 6
bosque                            0.000000    0.698970    0.000000            N/A
breve                             0.000000    0.698970    0.000000            N/A
brillaba                          0.000000    0.698970    0.000000            N/A
brillaban                         1.000000    0.397940    0.046899           9, 9
brillando                         1.000000    0.698970    0.046899          5, 40
brillante                         0.000000    0.698970    0.000000            N/A
brisa                             1.000000    0.698970    0.046899          1, 34
busca                             0.000000    0.698970    0.000000            N/A
buscarla                          1.000000    0.698970    0.046899          8, 30
caa                               0.000000    0.698970    0.000000            N/A
cae                               0.000000    0.698970    0.000000            N/A
caf                               0.000000    0.698970    0.000000            N/A
calle                             0.000000    0.698970    0.000000            N/A
calles                            0.000000    0.397940    0.000000            N/A
calma                             1.301030    0.096910    0.061018          7, 31
cambi                             1.000000    0.698970    0.046899         14, 40
cambia                            0.000000    0.698970    0.000000            N/A
cambiar                           1.000000    0.397940    0.046899          2, 65
camin                             0.000000    0.096910    0.000000            N/A
caminar                           1.301030    0.698970    0.061018           0, 9
caminata                          1.000000    0.698970    0.046899          1, 14
camino                            1.477121    0.698970    0.069276           2, 3
cansada                           0.000000    0.397940    0.000000            N/A
cansados                          0.000000    0.698970    0.000000            N/A
cantar                            0.000000    0.698970    0.000000            N/A
caracol                           0.000000    0.698970    0.000000            N/A
cargado                           0.000000    0.698970    0.000000            N/A
casa                              0.000000    0.698970    0.000000            N/A
casi                              1.000000    0.397940    0.046899          0, 34
